symbol1,symbol2
MRPS10,MRPL53
MRPS10,MRPL44
MRPS10,MRPS9
MRPS10,RPL35
MRPS10,MRPS18B
MRPS10,MRPL15
MRPS10,RSL24D1
MRPS10,RPL8
MRPS10,MTIF2
MRPS10,MRPL3
MRPS10,SRP14
MRPS10,RPL3L
MRPS10,RPS11
MRPS10,EIF2D
MRPS10,MRPS5
MRPS10,MRPS28
MRPS10,RPS3
MRPS10,MRPL49
MRPS10,DENR
MRPS10,GUF1
MRPS10,MRPS17
MRPS10,PDF
MRPS10,MRPL17
MRPS10,EIF5B
MRPS10,MRPL10
MRPS10,MRPS18C
MRPS10,EIF5A2
MRPS10,MRPL33
MRPS10,ABCE1
MRPS10,RPS23
MRPS10,GFM2
MRPS10,TRA2A
MRPS10,TRMT10B
MRPS10,SEC61A2
MRPS10,MRPL16
MRPS10,MRPL58
MRPS10,RPS9
MRPS10,MRPL39
MRPS10,MRPL13
MRPS10,RPL13
MRPS10,MRPL38
MRPS10,MRPL48
MRPS10,MRPL11
MRPS10,RPL15
MRPS10,RPL38
MRPS10,MRPL57
MRPS10,RPL4
MRPS10,SRP68
MRPS10,MRPL46
MRPS10,MRPL1
MRPS10,MRPS31
MRPS10,MRPS11
MRPS10,MRPS24
MRPS10,RPS15A
MRPS10,MRPS23
MRPS10,RPLP2
MRPS10,TUFM
MRPS10,GADD45GIP1
MRPS10,PLEC
MRPS10,IMP3
MRPS10,RPS27L
MRPS10,MRPL54
MRPS10,MRPL40
MRPS10,MRPL12
MRPS10,EIF5A
MRPS10,MRPL30
MRPS10,MRPL35
MRPS10,MRPL43
MRPS10,MRPL20
MRPS10,RPS2
MRPS10,AURKAIP1
MRPS10,MRRF
MRPS10,RPS21
MRPS10,RPL3
MRPS10,RPL36AL
MRPS10,RPL27A
MRPS10,RPL21
MRPS10,RPLP1
MRPS10,RPS3A
MRPS10,RPL22L1
MRPS10,RPL22
MRPS10,MRPL52
MRPS10,RPS26
MRPS10,HIBCH
MRPS10,ETF1
MRPS10,MRPL37
MRPS10,MRPL24
MRPS10,MRPL21
MRPS10,RPL12
MRPS10,MRPL18
MRPS10,MTRF1L
MRPS10,DAP3
MRPS10,MRPL9
MRPS10,PDCD11
MRPS10,RPL5
MRPS10,MCTS1
MRPS10,MRPL41
MRPS10,MRPS2
MRPS10,MRPL14
MRPS10,MRPS18A
MRPS10,CHCHD1
MRPS10,MRPS16
MRPS10,MRPS15
MRPS10,RPS4X
MRPS10,RPL10A
MRPS10,WDR31
MRPS10,RPL11
MRPS10,MRPL50
MRPS10,MRTO4
MRPS10,MTRF1
MRPS10,EIF1AX
MRPS10,MRPS26
MRPS10,RPS6
MRPS10,MTIF3
MRPS10,METTL17
MRPS10,MRPL2
MRPS10,RPL13A
MRPS10,MRPS33
MRPS10,MRPL19
MRPS10,RPL24
MRPS10,HDDC3
MRPS10,RPL34
MRPS10,RPS29
MRPS10,RPL14
MRPS10,RPS8
MRPS10,MRPL23
MRPS10,MRPS6
MRPS10,MRPS12
MRPS10,RPS14
MRPS10,RPL36A-HNRNPH2
MRPS10,RPL31
MRPS10,UBA52
MRPS10,SEC61G
MRPS10,RPL23A
MRPS10,RPS18
MRPS10,MOV10
MRPS10,RPL9
MRPS10,RPL6
MRPS10,MRPL55
MRPS10,POLR2F
MRPS10,RPL36A
MRPS10,RPS24
MRPS10,RPL32
MRPS10,MRPL47
MRPS10,MRPS22
MRPS10,RPL37A
MRPS10,RPL29
MRPS10,EIF1
MRPS10,RPL23
MRPS10,MRPS14
MRPS10,MRPL36
MRPS10,MRPS30
MRPS10,SRP19
MRPS10,RACK1
MRPS10,MRPS27
MRPS10,RPL30
MRPS10,RPL26L1
MRPS10,EIF3H
MRPS10,EIF5AL1
MRPS10,MRPL22
MRPS10,RPS25
MRPS10,FAU
MRPS10,RPS13
MRPS10,EIF3M
MRPS10,EIF2S3B
MRPS10,SOD2
MRPS10,RPL18
MRPS10,RPLP0
MRPS10,MRPL42
MRPS10,SRP54
MRPS10,RPL28
MRPS10,MRPS21
MRPS10,RPL26
MRPS10,RPL36
MRPS10,RPL27
MRPS10,RPS15
MRPS10,RPS19
MRPS10,RPS28
MRPS10,RPS5
MRPS10,RPS10-NUDT3
MRPS10,RPS10
MRPS10,NSA2
MRPS10,MRPL45
GRN,HK3
GRN,SLPI
GRN,TNFRSF1B
GRN,RPS6KA1
VAMP3,ACAP1
VAMP3,SNAP23
VAMP3,STX6
VAMP3,TNFRSF10B
VAMP3,STX8
VAMP3,SNAP47
VAMP3,VAMP2
VAMP3,STX4
VAMP3,STX3
VAMP3,STX7
VAMP3,STX16
VAMP3,STX12
VAMP3,STX2
VAMP3,VTI1A
VAMP3,VAMP1
VAMP3,VTI1B
RCN1,RPN2
RCN1,CCAR1
RCN1,HSPA4L
RCN1,HSP90B1
RCN1,CALR
RCN1,CLGN
RCN1,P4HB
RCN1,VCP
RCN1,IPO9
RCN1,LTV1
RCN1,ZWINT
RCN1,TOM1L2
RCN1,PTRH1
RCN1,NACA2
RCN1,MYL6
RCN1,PTGES3
RFC2,RPA1
RFC2,CHTF18
RFC2,ATAD5
RFC2,DSCC1
RFC2,PURA
RFC2,CHD1L
RFC2,CDC5L
RFC2,PCNA
RFC2,RFC3
RFC2,RFC1
RFC2,RFC4
RFC2,PRKAR1A
RFC2,GTF2F1
RFC2,PSMC6
RFC2,RFC5
RFC2,RAD17
RFC2,PSMC3
ARHGEF5,ARHGEF35
ARHGEF5,EFHC2
NFE2L3,HCFC2
NFE2L3,BACH2
NFE2L3,HCFC1
NFE2L3,GSK3B
NFE2L3,CREB3
NFE2L3,MAFK
NFE2L3,MAFF
NFE2L3,MAFG
NFE2L3,NFE2L1
NFE2L3,NFE2L2
NFE2L3,NFE2
TLL1,CHRD
CBLN4,RWDD2A
CBLN4,SRPK2
FAM168A,UBASH3B
FAM168A,FBXW5
RELT,PIK3R3
RELT,RELL2
RELT,OXSR1
RELT,STK39
PKP2,SLC14A2
PKP2,DSG1
PKP2,DSC1
PKP2,DSG2
PKP2,DSC2
PKP2,CTNNB1
PKP2,CLK2
PKP2,JUP
YIPF1,SLC35G1
YIPF1,YIPF6
INPP4A,HERC2
SLC2A3,SLC2A14
STYK1,GSK3B
GNA11,PAPOLA
GNA11,GNB3
GNA11,GNB4
GNA11,GNB5
GNA11,RHOB
GNA11,RHOC
GNA11,PTGIR
GNA11,CXCR5
GNA11,GNG3
GNA11,GNB2
GNA11,ADRB2
GNA11,ADRA1B
GNA11,EDNRA
GNA11,GNG2
GNA11,RGS3
GNA11,EDNRB
GNA11,TRPC3
GNA11,GNG4
GNA11,RGS14
GNA11,TBXA2R
GNA11,RHOA
GNA11,HTR2A
GNA11,RGS13
GNA11,GNB1
CREB3L3,NFIL3
CREB3L3,CREB3
CREB3L3,CREB1
CREB3L3,CREB3L1
HDAC7,MSH2
HDAC7,YWHAH
HDAC7,FOXA1
HDAC7,WDR59
HDAC7,EP300
HDAC7,YWHAE
HDAC7,NCOR1
HDAC7,ANKRA2
HDAC7,HDAC3
HDAC7,RFXANK
HDAC7,YWHAG
HDAC7,KAT5
HDAC7,MEF2C
HDAC7,SFN
HDAC7,MEF2A
HDAC7,UBE2I
HDAC7,NR2E1
HDAC7,RUNX2
HDAC7,YWHAB
HDAC7,HDAC1
HDAC7,KLF4
HDAC7,YWHAQ
HDAC7,SIN3A
HDAC7,YWHAZ
HDAC7,NCOR2
HDAC7,PPP1R12A
HDAC7,HDAC2
MRPS35,MRPS10
MRPS35,MRPS34
MRPS35,MRPL28
MRPS35,MRPL32
MRPS35,MRPL27
MRPS35,MRPL51
MRPS35,MRPS7
MRPS35,MRPL34
MRPS35,MRPL4
MRPS35,MRPS25
MRPS35,PTCD3
MRPS35,MRPL53
MRPS35,MRPL44
MRPS35,MRPS9
MRPS35,MRPS18B
MRPS35,MRPL15
MRPS35,LRPPRC
MRPS35,MRPL3
MRPS35,PGD
MRPS35,MRPS5
MRPS35,MRPS28
MRPS35,MRPL49
MRPS35,MRPS17
MRPS35,MRPL17
MRPS35,MRPL10
MRPS35,MRPS18C
MRPS35,MRPL33
MRPS35,TRMT10B
MRPS35,MRPL16
MRPS35,MRPL58
MRPS35,MRPL39
MRPS35,MRPL13
MRPS35,MRPL38
MRPS35,MRPL48
MRPS35,MRPL11
MRPS35,MRPL57
MRPS35,MRPL46
MRPS35,MRPS31
MRPS35,MRPS11
MRPS35,MRPS24
MRPS35,MRPS23
MRPS35,GADD45GIP1
MRPS35,MRPL54
MRPS35,MRPL40
MRPS35,MRPL30
MRPS35,MRPL35
MRPS35,MRPL43
MRPS35,MRPL20
MRPS35,RPS2
MRPS35,AURKAIP1
MRPS35,MRPL52
MRPS35,HIBCH
MRPS35,MRPL37
MRPS35,MRPL24
MRPS35,MRPL21
MRPS35,MRPL18
MRPS35,ATP1B1
MRPS35,DAP3
MRPS35,MRPL9
MRPS35,MRPL41
MRPS35,MRPS2
MRPS35,MRPL14
MRPS35,MRPS18A
MRPS35,CHCHD1
MRPS35,MRPS16
MRPS35,MRPS15
MRPS35,MRPL50
MRPS35,MRPS26
MRPS35,MRPL2
MRPS35,MRPS33
MRPS35,MRPL19
MRPS35,MRPL23
MRPS35,MRPS6
MRPS35,MRPS12
MRPS35,MRPL55
MRPS35,MRPL47
MRPS35,MRPS22
MRPS35,MRPS14
MRPS35,MRPL36
MRPS35,MRPS30
MRPS35,MRPS27
MRPS35,MRPL22
MRPS35,RPS13
MRPS35,SOD2
MRPS35,MRPL42
MRPS35,MRPS21
MRPS35,RPS5
MRPS35,MRPL45
APPBP2,COPS3
APPBP2,APP
APPBP2,HIPK4
APPBP2,COPS2
APPBP2,LEO1
APPBP2,COPS8
APPBP2,PYROXD2
APPBP2,AR
APPBP2,COA8
ISOC2,PSMC1
ISOC2,CALML3
ISOC2,FH
ISOC2,TGFBRAP1
ISOC2,VPS11
CD22,PLCG1
CD22,SYK
CD22,GRB2
GSC2,RNF4
KCNQ1,CALM2
KCNQ1,CALM3
KCNQ1,CALM1
KCNQ1,NEDD4L
KCNQ1,NEDD4
KCNQ1,FAU
KCNQ1,RPS10-NUDT3
TRIB2,RPS6KB1
